,Unnamed: 0,Nome,Squadra,R,prob_lineup,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,%games_played,%games_started,p_nolose,match_voti,match_score,voto_medio
0,0,reina,Lazio,P,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.8648581383773022,reina,100.0,0.5349999999999999
1,1,strakosha,Lazio,P,0.8,90.0,4.0,0.39999999999999997,2.8,0.7434000000000001,0.2,1.24,0.0,0.0,0.0,0.0,3.6,6.8,59.24,6.8,4.2,22.1,27.64,6.8,22.1,27.64,6.6,0.8,8.580000000000002,0.0,100.0,100.0,0.8648581383773022,strakosha,100.0,0.591
2,2,adamonis,Lazio,P,0.01,8.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.8648581383773022,,,
3,3,szczesny,Juventus,P,0.8,90.0,2.4,0.26666666666666666,1.8,0.65,0.2,1.02,0.4,0.2,0.2,0.0,4.8,10.4,43.02,10.4,3.2,42.34,38.34,10.4,42.34,38.34,9.2,0.4,8.66,0.6,100.0,100.0,0.9403415391439344,szczesny,100.0,0.625
4,4,perin,Juventus,P,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.9403415391439344,perin,100.0,0.623
5,5,pegolo,Sassuolo,P,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.6954679439941047,pegolo,100.0,0.5900000000000001
6,6,consigli,Sassuolo,P,0.8,90.0,4.2,0.4666666666666666,2.6,0.5566,0.0,1.24,0.0,0.0,0.0,0.0,5.8,14.0,44.54,14.0,3.6,39.88,36.08,14.0,39.88,36.08,9.6,0.6,6.14,1.2,100.0,100.0,0.6954679439941047,consigli,100.0,0.592
7,7,handanovic,Inter,P,0.8,90.0,3.6,0.19999999999999998,2.8,0.8167999999999997,0.4,0.8800000000000001,0.0,0.0,0.0,0.0,7.4,15.6,51.1,15.6,4.8,40.74,34.62,15.6,40.74,34.62,7.6,0.4,4.7200000000000015,0.0,100.0,100.0,0.9438641937884092,handanovic,100.0,0.615
8,8,montipo,Verona,P,0.8,90.0,4.2,0.39999999999999997,2.8,0.6928,0.2,1.34,0.0,0.0,0.0,0.0,7.4,19.0,43.76,19.0,3.8,65.76,46.71999999999999,19.0,65.76,46.71999999999999,9.2,0.2,1.82,0.4,100.0,100.0,0.4274430151207402,montipo,100.0,0.646
9,9,sportiello,Atalanta,P,0.3,90.0,5.0,0.3333333333333333,4.0,0.857,0.5,1.1,0.0,0.0,0.0,0.0,3.0,5.0,61.90000000000001,5.0,8.0,7.5,22.7,5.0,7.5,22.7,4.5,0.0,0.0,0.5,40.0,40.0,0.8542507752618337,sportiello,100.0,0.643
10,10,musso,Atalanta,P,0.7,90.0,4.333333333333333,0.5555555555555556,3.333333333333333,0.7223333333333334,0.3333333333333333,1.4666666666666668,0.3333333333333333,0.3333333333333333,0.0,0.0,5.666666666666668,14.333333333333336,37.066666666666656,14.333333333333336,5.0,43.5,37.1,14.333333333333336,43.5,37.1,6.666666666666668,0.6666666666666666,8.6,0.6666666666666666,60.0,60.0,0.8542507752618337,musso,100.0,0.617
11,11,rossi f,Atalanta,P,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.8542507752618337,rossi fr,93.0,0.6
12,12,meret,Napoli,P,0.45,90.0,6.0,0.3333333333333333,5.0,0.833,0.0,1.3,0.0,0.0,0.0,0.0,5.0,7.0,71.4,7.0,10.0,20.8,28.7,7.0,20.8,28.7,9.0,1.0,11.1,1.0,20.0,20.0,0.7967842531399307,meret,100.0,0.577
13,13,ospina,Napoli,P,0.55,90.0,3.6,0.4666666666666666,2.2,0.4882000000000001,0.0,1.52,0.0,0.0,0.0,0.0,3.4,10.4,31.88000000000001,10.4,2.4,32.86,34.86,10.4,32.86,34.86,6.2,0.2,3.34,0.8,100.0,100.0,0.7967842531399307,ospina,100.0,0.636
