Nome,Squadra,R,player_link
immobile,Lazio,A,https://fbref.com/en/players/4431aed2/Ciro-Immobile
lazzari,Lazio,D,https://fbref.com/en/players/02caf6e0/Manuel-Lazzari
radu,Lazio,D,https://fbref.com/en/players/53de807a/Stefan-Radu
basic,Lazio,C,https://fbref.com/en/players/80556f08/Toma-Basic
patric,Lazio,D,https://fbref.com/en/players/f7223718/Patric
lucas leiva,Lazio,C,https://fbref.com/en/players/4c78b5ed/Lucas-Leiva
luiz felipe,Lazio,D,https://fbref.com/en/players/15d0c248/Luiz-Felipe
hysaj,Lazio,D,https://fbref.com/en/players/2f3452eb/Elseid-Hysaj
jovane,Lazio,A,https://fbref.com/en/players/e34e086c/Jovane-Cabral
marusic,Lazio,D,https://fbref.com/en/players/d4535821/Adam-Marusic
milinkovicsavic,Lazio,C,https://fbref.com/en/players/4e6dbac4/Sergej-Milinkovic-Savic
reina,Lazio,P,https://fbref.com/en/players/e358587b/Pepe-Reina
cataldi,Lazio,C,https://fbref.com/en/players/ba3d3bea/Danilo-Cataldi
acerbi,Lazio,D,https://fbref.com/en/players/b96b595c/Francesco-Acerbi
strakosha,Lazio,P,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha
luis alberto,Lazio,C,https://fbref.com/en/players/5294a83f/Luis-Alberto
felipe anderson,Lazio,C,https://fbref.com/en/players/9f1893b9/Felipe-Anderson
pedro,Lazio,A,https://fbref.com/en/players/3ca7254a/Pedro
zaccagni,Lazio,C,https://fbref.com/en/players/d85c238b/Mattia-Zaccagni
moro,Lazio,A,https://fbref.com/en/players/919dd4b1/Raul-Moro
romero l,Lazio,C,https://fbref.com/en/players/ca6edaa0/Luka-Romero
akpa akpro,Lazio,C,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro
adamonis,Lazio,P,https://fbref.com/en/players/08990838/Denis-Vavro
kamenovic,Lazio,D,
vlahovic,Juventus,A,https://fbref.com/en/players/79443529/Dusan-Vlahovic
rugani,Juventus,D,https://fbref.com/en/players/14b8fcdf/Daniele-Rugani
chiellini,Juventus,D,https://fbref.com/en/players/e85fb9b8/Giorgio-Chiellini
danilo,Juventus,D,https://fbref.com/en/players/94b2001f/Danilo
bernardeschi,Juventus,C,https://fbref.com/en/players/ee93c1a9/Federico-Bernardeschi
rabiot,Juventus,C,https://fbref.com/en/players/8794e251/Adrien-Rabiot
zakaria,Juventus,C,https://fbref.com/en/players/384d58d9/Denis-Zakaria
dybala,Juventus,A,https://fbref.com/en/players/e0921a4f/Paulo-Dybala
de sciglio,Juventus,D,https://fbref.com/en/players/ae4e2852/Mattia-De-Sciglio
bonucci,Juventus,D,https://fbref.com/en/players/52ec54d0/Leonardo-Bonucci
kean,Juventus,A,https://fbref.com/en/players/3d50bcdb/Moise-Kean
mckennie,Juventus,C,https://fbref.com/en/players/01c3aff5/Weston-McKennie
chiesa,Juventus,C,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa
locatelli,Juventus,C,https://fbref.com/en/players/a8a874f1/Manuel-Locatelli
de ligt,Juventus,D,https://fbref.com/en/players/d6e53a3a/Matthijs-de-Ligt
alex sandro,Juventus,D,https://fbref.com/en/players/0d82903c/Alex-Sandro
szczesny,Juventus,P,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny
perin,Juventus,P,https://fbref.com/en/players/4c62d0c8/Mattia-Perin
morata,Juventus,A,https://fbref.com/en/players/129af0db/Alvaro-Morata
kaio jorge,Juventus,A,https://fbref.com/en/players/0cf465f2/Kaio-Jorge
cuadrado,Juventus,D,https://fbref.com/en/players/0ab1f153/Juan-Cuadrado
arthur,Juventus,C,https://fbref.com/en/players/48b3dd60/Arthur-Melo
pellegrini lu,Juventus,D,https://fbref.com/en/players/3b61c9ec/Luca-Pellegrini
ake m,Juventus,A,https://fbref.com/en/players/414e1f69/Marley-Ake
pinsoglio,Juventus,P,
de winter,Juventus,D,
palumbo,Juventus,C,
berardi,Sassuolo,A,https://fbref.com/en/players/53a0e358/Domenico-Berardi
chiriches,Sassuolo,D,https://fbref.com/en/players/c316607a/Vlad-Chiriches
oddei,Sassuolo,A,https://fbref.com/en/players/97e8ea97/Brain-Oddei
peluso,Sassuolo,D,https://fbref.com/en/players/4f2908e5/Federico-Peluso
pegolo,Sassuolo,P,https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo
harroui,Sassuolo,C,https://fbref.com/en/players/65fd099c/Abdou-Harroui
magnanelli,Sassuolo,C,https://fbref.com/en/players/07767f42/Francesco-Magnanelli
ruan,Sassuolo,D,https://fbref.com/en/players/a378a02a/Ruan
toljan,Sassuolo,D,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
rogerio,Sassuolo,D,https://fbref.com/en/players/10e7f486/Rogerio
matheus henrique,Sassuolo,C,https://fbref.com/en/players/a2d9f138/Matheus-Henrique
muldur,Sassuolo,D,https://fbref.com/en/players/1295552e/Mert-Muldur
ayhan,Sassuolo,D,https://fbref.com/en/players/2200181e/Kaan-Ayhan
kyriakopoulos,Sassuolo,D,https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos
defrel,Sassuolo,A,https://fbref.com/en/players/854ee61a/Gregoire-Defrel
consigli,Sassuolo,P,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli
frattesi,Sassuolo,C,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi
raspadori,Sassuolo,A,https://fbref.com/en/players/6e058f06/Giacomo-Raspadori
scamacca,Sassuolo,A,https://fbref.com/en/players/8790f988/Gianluca-Scamacca
ceide,Sassuolo,A,https://fbref.com/en/players/98a84572/Emil-Ceide
ferrari g,Sassuolo,D,https://fbref.com/en/players/8650af85/Gian-Marco-Ferrari
lopez m,Sassuolo,C,https://fbref.com/en/players/20094685/Maxime-Lopez
traore hj,Sassuolo,C,https://fbref.com/en/players/570bb4b9/Hamed-Junior-Traore
djuricic,Sassuolo,C,https://fbref.com/en/players/eccbe56a/Filip-Djuricic
ciervo,Sassuolo,C,
satalino,Sassuolo,P,
romagna,Sassuolo,D,
obiang,Sassuolo,C,
dzeko,Inter,A,https://fbref.com/en/players/3bb7f478/Edin-Dzeko
bastoni,Inter,D,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni
kolarov,Inter,D,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov
vecino,Inter,C,https://fbref.com/en/players/44ac04e9/Matias-Vecino
de vrij,Inter,D,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij
caicedo,Inter,A,https://fbref.com/en/players/93b891d1/Felipe-Caicedo
gagliardini,Inter,C,https://fbref.com/en/players/ce30bfc8/Roberto-Gagliardini
vidal,Inter,C,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
darmian,Inter,D,https://fbref.com/en/players/96e0490d/Matteo-Darmian
dimarco,Inter,D,https://fbref.com/en/players/970b8574/Federico-Dimarco
dambrosio,Inter,D,https://fbref.com/en/players/44eb9093/Danilo-DAmbrosio
brozovic,Inter,C,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic
gosens,Inter,D,https://fbref.com/en/players/2d970560/Robin-Gosens
sanchez,Inter,A,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez
handanovic,Inter,P,https://fbref.com/en/players/74419746/Samir-Handanovic
correa,Inter,A,https://fbref.com/en/players/45b9b619/Joaquin-Correa
skriniar,Inter,D,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar
dumfries,Inter,D,https://fbref.com/en/players/481c9ece/Denzel-Dumfries
perisic,Inter,C,https://fbref.com/en/players/6fe90922/Ivan-Perisic
barella,Inter,C,https://fbref.com/en/players/6928979a/Nicolo-Barella
calhanoglu,Inter,C,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu
ranocchia,Inter,D,https://fbref.com/en/players/539230cf/Andrea-Ranocchia
martinez l,Inter,A,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez
cordaz,Inter,P,
radu i,Inter,P,
caprari,Verona,A,https://fbref.com/en/players/54e53b7e/Gianluca-Caprari
simeone,Verona,A,https://fbref.com/en/players/343c0d52/Giovanni-Simeone
frabotta,Verona,D,https://fbref.com/en/players/d80b1835/Gianluca-Frabotta
pandur,Verona,P,https://fbref.com/en/players/457cb02f/Ivor-Pandur
hongla,Verona,C,https://fbref.com/en/players/b85bf253/Martin-Hongla
retsos,Verona,D,https://fbref.com/en/players/4bd00a50/Panagiotis-Retsos
dawidowicz,Verona,D,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz
sutalo,Verona,D,https://fbref.com/en/players/1d0bb7e4/Bosko-Sutalo
cancellieri,Verona,A,https://fbref.com/en/players/b6a1cdf9/Matteo-Cancellieri
gunter,Verona,D,https://fbref.com/en/players/f1f1f238/Koray-Gunter
ceccherini,Verona,D,https://fbref.com/en/players/d9624b51/Federico-Ceccherini
bessa,Verona,C,https://fbref.com/en/players/88895312/Daniel-Bessa
depaoli,Verona,D,https://fbref.com/en/players/d97f2e8d/Fabio-Depaoli
miguel veloso,Verona,C,https://fbref.com/en/players/ab1ca213/Miguel-Veloso
casale,Verona,D,https://fbref.com/en/players/3f5f38fb/Nicolo-Casale
montipo,Verona,P,https://fbref.com/en/players/c1d95617/Lorenzo-Montipo
lasagna,Verona,A,https://fbref.com/en/players/09538fdb/Kevin-Lasagna
ilic,Verona,C,https://fbref.com/en/players/bb376bed/Ivan-Ilic
lazovic,Verona,C,https://fbref.com/en/players/5128bde4/Darko-Lazovic
faraoni,Verona,D,https://fbref.com/en/players/aae9d04a/Davide-Faraoni
tameze,Verona,C,https://fbref.com/en/players/8da74c05/Adrien-Tameze
barak,Verona,C,https://fbref.com/en/players/01efac19/Antonin-Barak
praszelik,Verona,C,https://fbref.com/en/players/ec6773f5/Mateusz-Praszelik
coppola d,Verona,D,https://fbref.com/en/players/22ae86f9/Diego-Coppola
berardi a,Verona,P,
de roon,Atalanta,C,https://fbref.com/en/players/2a1beb34/Marten-de-Roon
sportiello,Atalanta,P,https://fbref.com/en/players/ac4003af/Marco-Sportiello
mihaila,Atalanta,A,https://fbref.com/en/players/81a4c239/Valentin-Mihaila
boga,Atalanta,A,https://fbref.com/en/players/fe012aca/Jeremie-Boga
